projectName,plotBearing,street,locality,lat,lon,CertificateNo,project_Village,project_Taluka,project_District,project_Division,project_State,pincode,
Rich County Apartment,2081,Gadge nagar road,Near Gadge Maharaj Mandir,21.0333937,78.954279,P50300015740,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444602,
SINGAPORE LIFE CITY,7,Not Available,Not Available,21.0333937,78.954279,P50500002626,Gotal Panjari,Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,441108,
Suvan Cresta - Phase B,S. No. 635/5A Part,MAHESH SOCIETY,BIBVEWADI,18.4698417035909,73.8666906721317,P52100000453,Pune (M Corp.),Pune City,Pune,Pune,MAHARASHTRA,411037,
"Construction of 20 MIG flats on S.No.42,60 at Nari, Nagpur","42,60",Not Available,Not Available,18.4807627,73.8724301,P50500006157,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440026,
Ivory Palms,1107,Not Available,Not Available,18.451729,73.844614,P50500004607,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440022,
PRISTINE PACIFIC PART-2,"S NO 36 PART, PRISTINE PACIFIC, DATTANAGAR-NARHE ROAD ",Not Available,Not Available,18.451729,73.844614,P52100000275,AMBEGAON Bk,Haveli,Pune,Pune,MAHARASHTRA,411046,
"SUYOJIT ONE WORLD PHASE-II, COMMERCIAL AND HOSPITAL ","OUT OF SURVEY NO. 113/A/3-2, 113/A/1A/6, 113/B CTS NO. 4444P,4450,4453,4448,4449,4451A,4452",NASHIK PUNE ROAD,"NEAR BIRLA HOSPITAL, NASHIK ROAD",19.9598609169031,73.831158254631,P51600002585,Deolali (CB),Nashik,Nashik,Nashik,MAHARASHTRA,422101,
BUSYLAND HEIGHTS,PLOT NO. 20 SHEET NO. 68 B,JAWAHAR ROAD,JAWAHAR ROAD,20.9315389,77.7519989,P50300016893,Not Available,Amravati,Amravati,Amravati,MAHARASHTRA,444601,
DIGAMBAR SADAN,"CTS NO 10010 G NO 40/B/2 H.NO 1-15-438,439,440 P NO 14,15,16",Not Available,Not Available,19.1428869,77.303723,P51100006594,Nanded Waghala (M Corp.),Nanded,Nanded,Aurangabad,MAHARASHTRA,431602,
Gajanan Plaza Apartment,868-2-2E-1B-12/13,Indira Nagar Road,Indira Nagar,19.1428869,77.303723,P51600004168,Nashik (M Corp.),Nashik,Nashik,Nashik,MAHARASHTRA,422009,
VIDYA RESIDENCY,"PLOT NO 526, 527, 528",RAHATGAON SHEGAON ROAD,"near to N. H. 6, RAHATGAON",19.1428869,77.303723,P50300015054,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444604,
Construction of 674 EWS T/s 409 MIG T/s 104 HIG T/s under PMAY at Akoli Amravati / EWS and MIG,"47,57,58",Old MHADA colony road,Akoli,20.905474,77.7254,P50300015120,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444606,
ABAD PRIDE CITY,CTS NO 14841/SURVEY NO 548/FINAL PLOT NO 01,Main Road,Mama Square,21.1644478,79.1153367,P51400002893,Jalna (M Cl),Jalna,Jalna,Aurangabad,MAHARASHTRA,431203,
ANANTRAJ ARCADE,190/517,Not Available,Not Available,21.1644478,79.1153367,P50500007084,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440002,
Savali Sankul,Plot No 2 and 3 S No 808 Hissa No 3,Not Available,Not Available,21.1644478,79.1153367,P51600001803,Sinnar(M Cl),Sinnar,Nashik,Nashik,MAHARASHTRA,422103,
AAMER TOWER II,39,WARORA ROAD,COLLEGE ROAD ,20.0608371,78.9571069,P51000015004,Wani (M Cl),Wani,Yavatmal,Amravati,MAHARASHTRA,445304,
SAI MORESHWAR DIVINE,GAT NO 96/1/3/1,Behind Sun & Sand hotel,Near Sai nagar station,20.0608371,78.9571069,P52200009308,Nighoj,Rahta,Ahmednagar,Nashik,MAHARASHTRA,423109,
SUKHAKARTA APARTMENT,GUT NO 180 P,cidco waluj,cidco growth center,19.8761653,75.3433139,P51500003110,Tisgaon,Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431132,
Pranav Garden Phase-1,551/1,Not Available,Not Available,21.136394,79.099714,P51600003549,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422003,
Shriram Niwas Yojna - ii,917,JATAROADI,NAGPUR,21.136394,79.099714,P50500013935,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440009,
SWAPN SAKAR APPARTMENT,PLOT 46 2/7,SHEET NO. 47-B,MAUJE AMRAVATI,21.136394,79.099714,P50300015228,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444601,
MEGHDOOT ENCLAVE,PLOT NO 73 KH 10B,HUDKESHWAR,HUDKESHWAR,21.0910706,79.1235446,P50500006571,Hudkeshwar Bu,Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,440034,
Pranav Garden Phase-2,551/1,Not Available,Not Available,21.0910706,79.1235446,P51600006247,Nashik (M Corp.),Nashik,Nashik,Nashik,MAHARASHTRA,422003,
TOWN IMPERIA,GUT NO 14 P,PAITHAN ROAD,NEAR NATHVALLEY SCHOOL,21.0910706,79.1235446,P51500006362,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
BARSANA RESIDENCY,488/1/3 / PLOT NO.1,J.M. Pawar hospital road,Savarkar Nagar,17.2736639,74.6175341,P53100000238,Vita (M Cl),Khanapur,Sangli,Pune,MAHARASHTRA,415311,
GARDEN COURT,"KHASRA NO.47, PH NO. 38 PLOT NO.1",Not Available,Not Available,17.2736639,74.6175341,P50500006270,Beltarodi,Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,440034,
MALPANI SAFFRON BUILDING NO 2,S NO 295/3A/1 AND 295/3A/2,Not Available,Not Available,17.2736639,74.6175341,P51600008125,Nashik (M Corp.),Nashik,Nashik,Nashik,MAHARASHTRA,422010,
SHREE AMBIKA DHAM,"PLOT NO 22, GUT NO 24 ITKHEDA",ITKHEDA,ITKHEDA,17.2736639,74.6175341,P51500009147,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
LAXMI KRUPA APARTMENT,SERVEY NO 10/2/1/1/4/2/E,Not Available,Not Available,19.9162906,75.1778853,P51600004128,Nashik Road,Nashik,Nashik,Nashik,MAHARASHTRA,422101,
SUKHETA PRIDE,PLOT NO 22,MGM College Road,CIDCO,19.9162906,75.1778853,P51500003577,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431002,
ESMERALDE BUILDING D,GUT NO 106 NAKSHATRAWADI,Paithan Road,Nakshatravadi,19.8246009967776,75.2835060033859,P51500012348,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
ORBIT CONSTRUCTION,"PLOT NO. 111, 112, 113, SURVEY NO. 14/1","SURVEY NO. 14/1, PLOT NO. 111, 112, 113",NIMBHORA,19.967487,79.2938273,P50300015171,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444601,
VASANT VILLA,"SURVEY NO. 107/56 B, PLOT NO. 11",Not Available,Not Available,19.967487,79.2938273,P50900008319,Chandrapur (M Cl),Chandrapur,Chandrapur,Nagpur,MAHARASHTRA,442401,
ESMERALDE BUILDING C,GUT NO 106 NAKSHTRAWADI,Paithan Road,Nakshatrawadi,19.8250425646584,75.2833933506073,P51500008370,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
ORBITAL SERENITY,107/4 AND 107/3-7,Not Available,Not Available,21.1028803,79.0277774,P50500002406,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440036,
Waterways,Part of Survey No 385,maharashtra,tapovan road,21.1028803,79.0277774,P51600008638,Nashik (M Corp.),Nashik,Nashik,Nashik,MAHARASHTRA,422011,
ESMEARALDE BUILDING A,GUT NO 106 NAKSHTRAWADI,Paithan Road,Nakshatrawadi,19.8243966135146,75.2830339345993,P51500004945,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
JP ENIGMA,Plot No 26,Not Available,Not Available,21.1731258,79.0896089,P50500013221,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440004,
ESMEARLDE EFG 1 TO 7,GUT NO 106 NAKSHATRAWADI,Paithan Road,Nakshatrawadi,19.8240282183273,75.2837313089432,P51500004655,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
anupama pearl regency,117118,Not Available,Not Available,21.1813598,79.0136475,P50500004233,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440013,
Sonigara Neelangan,"1208,1209 AND 1213",MAHARASHTRA ,CHIKHALI,18.6836400937769,73.8051762773516,P52100002447,Pimpri Chinchawad (M Corp.),Haveli,Pune,Pune,MAHARASHTRA,411062,
Ashish Heritage,Survey No. 32/4C,Not Available,Not Available,18.6962184,73.7830861,P51600005186,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422005,
GOVIND KRUPA,"SURVEY NO 193/1, PLOT NO 18","MITRANGAN LAYOUT, SHEGAON - RAHATGAON ROAD",AMRAVATI,18.6962184,73.7830861,P50300015320,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444603,
ESMERALDE BUILDING IB 1 TO 5,GUT NO 106 NAKSHTRAWADI,Paithan Road,Nakshatrawadi,19.8248255657389,75.2825457725586,P51500011763,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
MORAYA APARTMENT,26. S.NO.421/4 5 6/A,Makhmalabad Road ,Makhmalabad,20.9468443,77.7823973,P51600006906,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422003,
SARVADNYA RESIDENCY,"SURVEY NO 132, PLOT NO 21,22","BHAT LAYOUT, NAGPUR ROAD, RAHATGAON CHOWK",AMRAVATI,20.9468443,77.7823973,P50300015347,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444603,
CHINTAMANI RESIDENCY,"PLOT NO 39,40 SURVEY NO 75/1",Not Available,Not Available,18.0191973,74.3396851,P50900004838,Chandrapur (M Cl),Chandrapur,Chandrapur,Nagpur,MAHARASHTRA,442401,
HARSHMADHURAJ SANKUL,"23,24,25,26",Phaltan,SURVADI,18.0191973,74.3396851,P52700008601,Survadi,Phaltan,Satara,Pune,MAHARASHTRA,415522,
RAGA ALTIS Phase I,GUT NO 66 67,Not Available,Not Available,18.0191973,74.3396851,P51500005691,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
Parksyde Homes Phase 5A,S NO 256 PART AND 257 PART,Adgaon Naka,Hanuman Nagar,19.9974533,73.7898023,P51600004799,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422002,
MAULI APARTMENT,10,AKOLI,FOREST COLONY,21.1583917,79.0673302,P50300015336,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444607,
MULTANI APARTMENT,HOUSE NO 410 CTS NO 2213/1 SHEET NO 33 MOUZA-SITABULDI,Not Available,Not Available,21.1583917,79.0673302,P50500006543,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440001,
PearlShell,125126127,Paithan Road,Nath Seeds,21.1583917,79.0673302,P51500005367,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431005,
ESMERALDE BUILDING B1 B2 IB 6 TO 9,GUT NO 106 NAKSHTRAWADI,Paithan Road,Nakshatrawadi,19.8250122857572,75.2829105529846,P51500005342,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
SHLOK APPARTMENT,"90,101,102/SURVEY NO 107/1D",Not Available,Not Available,20.0119388,79.2257274,P50900012515,Not Available,Chandrapur,Chandrapur,Nagpur,MAHARASHTRA,442406,
VIJAY RESIDENCY,46/26/27,Not Available,Not Available,20.0119388,79.2257274,P51600007898,Aanandwali,Nashik,Nashik,Nashik,MAHARASHTRA,422013,
YASHODHAN APARTMENT,PLOT NO 7 S NO 35/1 AND 28/3,OLD BYE PASS ROAD,BESIDE HOTEL LORDS,20.0119388,79.2257274,P50300015586,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444606,
SUYOJIT VIRIDIAN VALLIS-PHASE 1 -D4 OTIO,"Out of Survey No 145/1, 145/3, 149/1 , 149/2, 151, 152, 155/2",Maharashtra,"Upper Savarkar Nagar, 
Adjoning to Godapark, Off Gangapur Road, Nashik",20.0250205,73.7601142,P51600004864,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422013,
SHREE AMBA BUSINESS PARK WING A,"PLOT NO 6, 7 AND 8 S NO 71/1 AND 82/1",NATIONAL HIGHWAY NO 6 AMRAVATI NAGPUR HIGHWAY,RAHATGAON NEAR RING ROAD T-POINT,20.9733229251747,77.7931522720078,P50300015750,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444607,
DHRUV GOKULDHAM,GUT NO 27 P SUNDARWADI,zalta fata road,Sundarwadi,19.8799355,75.3324723,P51500007864,Sundarwadi,Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
HORIZON HEIGHTS,PLOT NO 1 SURVEY NO 48/3,NEAR RING ROAD,SHEGAON RAHATGAON,19.8799355,75.3324723,P50300015611,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444602,
SUYOJIT VIRIDIAN VALLIS-PHASE 1 -E1 VIVIDE,"Out of Survey No 145/1, 145/3, 149/1 , 149/2, 151, 152, 155/2",Maharashtra,"Suyojit Viridian Vallis, Upper Savarkar Nagar, Adjoining to Goda Park, Off Gangapur Road, Nashik",20.0271058285135,73.7607995044033,P51600005433,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422013,
SAMARTH RESIDENCY,GUT NO 143/1 143/2,Not Available,Not Available,19.8630051,75.4781662,P51500005674,Shendra Kamangar,Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
VASANT VILLA,PLOT NO 17-18 SURVEY NO 75/1,Not Available,Not Available,19.967487,79.2938273,P50900004760,Chandrapur (M Cl),Chandrapur,Chandrapur,Nagpur,MAHARASHTRA,442401,
Blue Oasis,Gut No 25,Not Available,Not Available,18.605837,73.909996,P51500002808,Satara (CT),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431005,
GURU PRAJAKTA,CTS 1378,Malali Road,Lohgaon,18.605837,73.909996,P52100001792,LOHGAON,Haveli,Pune,Pune,MAHARASHTRA,411047,
Sandesh Dawa Bazar,2A City Survey No 422-1 Mouza Nagpur,Not Available,Not Available,18.605837,73.909996,P50500009347,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440018,
Vedant Park,Plot No 9 and 10 S No 626 Hissa No 1A 1B/2/2 and 626/2,Not Available,Not Available,18.605837,73.909996,P51600002823,Sinnar(M Cl),Sinnar,Nashik,Nashik,MAHARASHTRA,422103,
GALAXY APPARTMENT,"Survey No. 2/1-A, Eastern Side portion",Near Gurudatta Institute of Pharmacy,"Kaulkhed, Akola",19.967487,79.2938273,P50100016148,Akola (M Corp.),Akola,Akola,Amravati,MAHARASHTRA,444004,
SAKET HEIGHTS APARTMENT,PLOT NO 13  SURVEY NO 26/2,Not Available,Not Available,19.967487,79.2938273,P51600003851,Deolaligaon,Nashik,Nashik,Nashik,MAHARASHTRA,422101,
SYNERGY INFRA VENTURES,72 1 PART MOUZA WADGAON,Not Available,Not Available,19.967487,79.2938273,P50900004166,Chandrapur (M Cl),Chandrapur,Chandrapur,Nagpur,MAHARASHTRA,442401,
KALYANI CITY,GUT NO 102,SAMARTHA NAGAR,SAMARTHA NAGAR,19.8902634,75.323544,P51500010542,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
Rajsuya Enclave,143,Chikhaldara Road,Grampanchayat Motha,19.8902634,75.323544,P50300016337,Motha,Chikhaldara,Amravati,Amravati,MAHARASHTRA,444702,
SUYOJIT VIRIDIAN VALLIS-PHASE 1 -E8 VIVIDE,"Out of Survey No 145/1, 145/3, 149/1 , 149/2, 151, 152, 155/2",MAHARASHTRA,"Suyojit Viridian Vallis, Upper Savarkar Nagar, Adjoining to Goda Park, Off Gangapur Road, Nashik",20.026204919589,73.7615143131058,P51600007137,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422013,
KALYANI SAI VISHWA,GUT NO 138,Not Available,Not Available,19.8902634,75.323544,P51500006121,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
VIRAJ CITY,20/2,MANORA ROAD,MANORA ROAD,19.8902634,75.323544,P51000015777,Digras,Digras,Yavatmal,Amravati,MAHARASHTRA,445203,
Parksyde Homes Phase 3,S NO 256 PART AND 257 PART,Adgaon Naka,Hanuman Nagar,19.9974533,73.7898023,P51600003548,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422002,
ADINATH PRESIDIO,"PLOT NO 4, 5 CTS NO 15847 171 , 172",Not Available,Not Available,19.8505,75.3521,P51500003981,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431005,
JAY BALAJI HIGHTS,"STS NO 563A AND 563B PLOT NO 12/21, 13/20, 16/19",Not Available,Not Available,19.8505,75.3521,P51600004337,Igatpuri (M Cl),Igatpuri,Nashik,Nashik,MAHARASHTRA,422403,
ASHOK VATIKA,"KH. NO 6A AND 6B,PH. NO. 36 PLOT NO 05",Not Available,Not Available,21.0977049,79.1294516,P50500013895,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440034,
LAXMI HOMES,"114B,113A,113B,112B",Not Available,Not Available,21.0977049,79.1294516,P51400005951,Indewadi,Jalna,Jalna,Aurangabad,MAHARASHTRA,431203,
Madhurajani Residency,"Plot No 180/8 and 1/15 Sheet No 46A, 46B",Dastur Nagar Road,Rajapeth,21.0977049,79.1294516,P50300015905,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444605,
MALATI- MANOHAR APT,SURVEY NO 241,Not Available,Not Available,21.0977049,79.1294516,P51600003147,Nashik (M Corp.),Nashik,Nashik,Nashik,MAHARASHTRA,422004,
AYUR MALL,59/3,MOUJE - RAJAPETH,AMRAVATI,18.5817469,73.9817056,P50300016040,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444601,
Treeline 5,Kh. No. 82 pt. 83 pt,Kharsoli Road,Mauza,18.5817469,73.9817056,P50500002936,Pipla,Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,440034,
MAJESTIQUE CITY,GAT NO. 564 AND 559/1,Wagholi,Wagholi,18.5904888938024,73.9955641097747,P52100000113,WAGHOLI,Haveli,Pune,Pune,MAHARASHTRA,412207,
BALASAHEB DEORAS SAHANIWAS PHASE 2,"178/4,5,6,7",SIE BEZANJI MEHTA ROAD,GANDHISAGAR,18.5019606,73.9330242,P50500011868,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440032,
Irene,S NO 69/1A/3,Not Available,Not Available,18.5019606,73.9330242,P52100000313,Hadapsar,Haveli,Pune,Pune,MAHARASHTRA,411028,
Shree Laxmi Gokuldham,Survey No 45/2/1 and 45/8/1,Not Available,Not Available,18.5019606,73.9330242,P51600001646,Belatgavhan,Nashik,Nashik,Nashik,MAHARASHTRA,422401,
SILVER PARK,"PLOT NO 3, GUT NO 52/1, WADGAON, KOLHATI, CIDCO, WALUJ, AURANGABAD",Wadgaon MIDC Road,Near Sai Mandir,18.5019606,73.9330242,P51500006425,Wadgaon Kh.,Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431136,
BALAJI ANANDAM,"A1/15,18/26,28,29/A",Not Available,Not Available,21.1157472,79.0447306,P50500006012,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440022,
PRABHAV EVANA PHASE - I,210 AND 217,NASHIK,NASHIK,21.1157472,79.0447306,P51600012427,Nashik (M Corp.),Nashik,Nashik,Nashik,MAHARASHTRA,422010,
Saidatta Developers Project Saidham,survey no 3/1,Nr Gajanan Temple Sai Nagar,mauje saturna,21.1157472,79.0447306,P50300016082,Not Available,Amravati,Amravati,Amravati,MAHARASHTRA,444607,
SHANTADEVI HOMES,39,Not Available,Not Available,21.1157472,79.0447306,P52500007419,Ekundi (j),Umarga,Osmanabad,Aurangabad,MAHARASHTRA,413606,
AMAR WESTVIEW,"S NO 24/4, CTS NO 75 TO 82, FP NO 369 ",Koregaon Park Road,Koregaon Park,19.1720804,72.948255,P52100000170,Pune (M Corp.),Pune City,Pune,Pune,MAHARASHTRA,411001,
MUTUAL BENEFIT CO OP HSG SOC LTD,CTS NO 1069,Not Available,Not Available,19.1720804,72.948255,P51800002333,Kurla,Kurla,Mumbai Suburban,Konkan,MAHARASHTRA,400080,
NEEL VIHAR WING-B,2,Not Available,Not Available,19.1720804,72.948255,P50500008240,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440034,
SIDDHI PARK PLATINUM,PLOT NO 37 GUT NO 229-1,Not Available,Not Available,19.1720804,72.948255,P51500009751,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431008,
PUSHP SHRI APARTMENT,38/1,OLD BY PASS ROAD, GANUWADI ,20.897783817442,77.7595952986725,P50300016323,Not Available,Amravati,Amravati,Amravati,MAHARASHTRA,444606,
GAJANAN PALACE,51,Not Available,Not Available,18.6239079,73.8124984,P50500002858,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440013,
SAI RESIDENCY,PLOT NO A63,Not Available,Not Available,18.6239079,73.8124984,P51500003184,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431007,
SHREE SAI ENCLAVE,PLOT NO 86 SURVEY NO 308/A/86,Not Available,Not Available,18.6239079,73.8124984,P51600009958,Nashik (M Corp.),Nashik,Nashik,Nashik,MAHARASHTRA,422009,
Star City,"94/1, 94/4",Not Available,Not Available,18.6239079,73.8124984,P52100001163,Pimpri Chinchawad (M Corp.),Haveli,Pune,Pune,MAHARASHTRA,412105,
Belmac Residences E,CTS No. 3106 to 3114,VADGAONSHERI,PUNE,18.5596688,73.9126423,P52100000131,VADGAONSHERI,Haveli,Pune,Pune,MAHARASHTRA,411014,
BHUMISHRUSHTI PHASE 1,GUT NO 96,Not Available,Not Available,18.5596688,73.9126423,P51500003516,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431005,
Sanika Tower,Plot no. 60 of G. No. 303 of Pimprala,Not Available,Not Available,18.5596688,73.9126423,P49900002963,Pimprala,Jalgaon,Jalgaon,Nashik,MAHARASHTRA,425001,
SHRI VARADVINAYAK RESIDENCY,"SURVEY NO. 5/1-A, PLOT NO. 1, 2/1","MAHAJANPUR, PRAGANE - BADNERA",AMRAVATI,18.5596688,73.9126423,P50300016210,Badnera,Amravati,Amravati,Amravati,MAHARASHTRA,444601,
GLOCAL SQUARE LG AND 2ND FLOOR,CTS NO 3118 3120 3121 AND 3124 BUTY MAHAL KHASRA NO 315 P AND 320 ARD NO 3 SITABULDI NAGPUR,ABHYANKAR ROAD,SITABURDI,21.1425949,79.0823664,P50500003695,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440012,
GNP ARCADIA,RP-155,DOMBIVLI INDUSTRIAL AREA,"MIDC, DOMBIVLI",19.2183307,72.9780897000001,P51700004413,DOMBIVLI,Kalyan,Thane,Konkan,MAHARASHTRA,421202,
ABHISHRI ENCLAVE,SURVEY NO 153/7 PLOT NO 5,Not Available,Not Available,19.222074,73.0788957,P52700012923,Goleshwar,Karad,Satara,Pune,MAHARASHTRA,415124,
Decent Sargam,26 MOUJE RAHATGAON S NO 192/1,Shegaon Rahatgaon Road,Om Colony,19.222074,73.0788957,P50300016146,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444604,
YOGMALA APPARTMENT WING B,"22B / 22A/ 2B/ 33, 34",Not Available,Not Available,19.222074,73.0788957,P51600006719,Jail Road,Nashik,Nashik,Nashik,MAHARASHTRA,422101,
GOVINDA SMART CITY,S NO 13 MOUJE BADNERA,BADNERA ROAD,MOUJE BADNERA,18.8211767,74.3730915,P50300016222,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444701,
Maza Gharkul,1532,Pune-Nagar Highway,Sanaswadi,18.8211767,74.3730915,P52100000081,Sanaswadi (CT),Shirur,Pune,Pune,MAHARASHTRA,412208,
NIRALI FLAT OWNERS CO OPERATIVE HOUSING SOCIETY,SURVEY NO 68 GUT NO 130 AND 131,Not Available,Not Available,18.8211767,74.3730915,P51500011481,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
Vista 3B,Kh No.97/1 Pt 97/2 Pt 97/3 pt 97/4 pt,Kharsoli Road,Mauza,18.8211767,74.3730915,P50500003509,Pipla,Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,440034,
PADMAVATI NAGARI BLDG NO 1 A and B wing,GUT NO 162 PLOT NO 15 TO 18 AND 35 TO 38,Pimpri Raod,Venkatesh Nagar,19.6670834098924,73.5831997205739,P51600003238,PimpriSado,Igatpuri,Nashik,Nashik,MAHARASHTRA,422403,
AVANI HERITAGE,1 SURVEY NO 38/1 MAUJE PETH,Shilangan Road,Shanti Niketan Colony,19.1367927,72.8579095,P50300016195,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444607,
HANSA,"118, 118/ 1 to 9",Not Available,Not Available,19.1367927,72.8579095,P51800003042,Andheri,Andheri,Mumbai Suburban,Konkan,MAHARASHTRA,400060,
Raman Park - Phase - I,"16/14, Plot no 8,9",Not Available,Not Available,19.1367927,72.8579095,P51600004598,Yeola,Yevla,Nashik,Nashik,MAHARASHTRA,423401,
SWAPNIL ENCLAVE,"PLOT NO 3 CITY SURVEY NO 19/3 SHEET NO 168/8 KHASRA NO 24, 26,27,28,29/1",Not Available,Not Available,19.1367927,72.8579095,P50500006022,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440023,
KALASH RESIDENCY,"PLOT NO 8 ,9",NEW BYE PASS ROAD,GAJRAJ NAGAR,21.0801997,79.1202772,P50300016367,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444607,
KASLIWAL KADAM HEIGHTS,65/B,Not Available,Not Available,21.0801997,79.1202772,P51100007821,Nanded Waghala (M Corp.),Nanded,Nanded,Aurangabad,MAHARASHTRA,431601,
Treeline 6,"KH No 96/1 pt, 96/2 pt, 96/3 pt, 96/4 pt",Kharsoli Road,Mauza,21.0801997,79.1202772,P50500011412,Pipla,Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,440034,
Shiv Elite Phase II,Kh No 67 / 1,Not Available,Not Available,21.054968,79.0768629,P50500007132,Shankarpur,Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,441108,
The Metrozone Athens A1,Survey No 7/1 to 5 and 8/1 to 5,"WADALA, PATHARDI ROAD",INDIRA NAGAR,21.054968,79.0768629,P51600005033,Nashik (M Corp.),Nashik,Nashik,Nashik,MAHARASHTRA,422009,
